Date,Open,High,Low,Close,Adj Close,Volume
2019-04-23,113.000000,114.370003,112.849998,113.739998,110.183212,9193100
2019-04-24,113.260002,114.150002,112.809998,113.550003,109.999153,9245700
2019-04-25,113.010002,114.150002,112.500000,113.610001,110.057274,9311800
2019-04-26,113.949997,114.580002,113.599998,114.470001,110.890381,7889300
2019-04-29,114.599998,117.160004,114.449997,116.120003,112.488785,14242200
2019-04-30,116.430000,116.720001,115.260002,116.050003,112.420982,11389100
2019-05-01,115.720001,117.000000,115.110001,115.160004,111.558807,10412900
2019-05-02,115.169998,115.779999,114.580002,115.410004,111.800995,8613300
2019-05-03,116.000000,116.680000,115.669998,116.120003,112.488785,8185400
2019-05-06,114.180000,115.470001,113.720001,115.089996,111.490997,9387000
2019-05-07,114.029999,114.029999,112.290001,113.209999,109.669785,15017700
2019-05-08,112.660004,113.669998,112.459999,112.610001,109.088547,9575800
2019-05-09,111.139999,112.739998,110.580002,112.519997,109.001358,12205900
2019-05-10,111.750000,112.839996,110.540001,112.510002,108.991676,13189000
2019-05-13,110.080002,110.449997,108.980003,109.449997,106.027367,13783700
2019-05-14,109.550003,111.720001,109.500000,110.320000,106.870163,10503600
2019-05-15,109.209999,110.900002,108.610001,109.900002,106.463295,10142000
2019-05-16,110.620003,112.169998,110.589996,111.309998,107.829201,9672700
2019-05-17,110.000000,111.750000,109.830002,110.769997,107.306084,9570100
2019-05-20,110.580002,111.809998,110.370003,111.349998,107.867950,8518200
2019-05-21,111.440002,111.919998,111.220001,111.730003,108.236069,7967900
2019-05-22,111.400002,111.790001,110.750000,110.820000,107.354523,7918900
2019-05-23,109.639999,109.790001,107.500000,108.639999,105.242699,14558000
2019-05-24,109.519997,109.959999,109.190002,109.709999,106.279236,8537300
2019-05-28,109.199997,109.830002,108.440002,108.519997,105.126442,11665500
2019-05-29,107.449997,108.400002,107.059998,108.220001,104.835831,9966400
2019-05-30,108.650002,109.180000,106.540001,107.059998,103.712105,10367800
2019-05-31,105.559998,106.589996,104.839996,105.959999,102.646507,10952800
2019-06-03,105.800003,106.860001,105.300003,106.459999,103.130867,11680700
2019-06-04,107.849998,109.900002,107.129997,109.739998,106.308289,12858600
2019-06-05,109.860001,110.379997,108.639999,110.129997,106.686096,8340500
2019-06-06,110.150002,110.870003,108.930000,110.370003,106.918602,8726700
2019-06-07,109.699997,110.019997,108.959999,109.160004,105.746437,10618900
2019-06-10,110.750000,111.209999,110.220001,110.339996,106.889526,11380600
2019-06-11,110.820000,111.570000,110.370003,110.680000,107.218903,9847700
2019-06-12,110.699997,110.900002,108.889999,109.269997,105.852989,9669000
2019-06-13,109.459999,110.160004,109.050003,109.540001,106.114548,8406900
2019-06-14,109.570000,110.300003,108.629997,109.820000,106.385788,9077400
2019-06-17,109.699997,110.370003,109.059998,109.220001,105.804565,8128600
2019-06-18,109.010002,111.410004,108.980003,110.709999,107.247963,11057300
2019-06-19,110.820000,111.589996,109.699997,109.910004,106.472984,13126500
2019-06-20,110.879997,111.089996,109.029999,110.190002,106.744232,13638000
2019-06-21,110.190002,111.669998,109.089996,109.440002,106.017677,27089500
2019-06-24,109.279999,109.769997,108.540001,108.660004,105.262070,13039600
2019-06-25,108.680000,108.980003,107.669998,107.760002,104.390221,18660100
2019-06-26,108.300003,109.309998,108.160004,108.480003,105.087700,10324600
2019-06-27,108.839996,109.550003,108.440002,108.839996,105.436440,10906600
2019-06-28,111.040001,112.430000,110.900002,111.800003,108.303879,21634700
2019-07-01,113.230003,114.519997,113.080002,113.680000,110.125084,12762500
2019-07-02,113.510002,114.199997,113.220001,113.800003,110.241341,10174900
2019-07-03,113.339996,113.870003,112.260002,112.820000,110.065735,6849400
2019-07-05,113.510002,114.269997,112.919998,113.489998,110.719376,7929400
2019-07-08,112.959999,113.480003,112.500000,112.870003,110.114510,6917200
2019-07-09,112.279999,113.489998,112.150002,113.349998,110.582794,8947300
2019-07-10,113.370003,113.830002,112.739998,113.019997,110.260849,9242300
2019-07-11,113.370003,114.360001,113.120003,114.099998,111.314484,11595200
2019-07-12,114.129997,115.349998,113.930000,115.300003,112.485184,10783400
2019-07-15,115.540001,115.570000,113.529999,113.900002,111.119362,12946600
2019-07-16,113.480003,115.500000,112.919998,115.120003,112.309586,16945000
2019-07-17,114.430000,114.940002,113.730003,113.989998,111.207169,13120900
2019-07-18,113.930000,115.070000,113.550003,114.669998,111.870560,9400700
2019-07-19,114.889999,115.120003,113.400002,113.540001,110.768158,10402800
2019-07-22,112.910004,114.449997,112.769997,114.269997,111.480331,9061100
2019-07-23,114.879997,116.449997,114.820000,116.360001,113.519302,12752200
2019-07-24,115.580002,116.879997,115.519997,116.830002,113.977837,10011000
2019-07-25,116.889999,117.239998,115.320000,115.709999,112.885178,10138400
2019-07-26,115.769997,116.510002,115.529999,116.220001,113.382729,12800400
2019-07-29,116.459999,117.180000,115.790001,115.849998,113.021767,8500400
2019-07-30,115.190002,116.080002,114.760002,115.589996,112.768105,7121100
2019-07-31,116.099998,116.180000,114.860001,116.000000,113.168098,13648000
2019-08-01,115.330002,116.800003,112.599998,112.940002,110.182808,15664500
2019-08-02,112.400002,113.430000,111.400002,112.930000,110.173050,11025500
2019-08-05,110.790001,110.980003,108.269997,109.570000,106.895073,15855300
