Date,Open,High,Low,Close,Adj Close,Volume
2019-04-23,58.889999,58.980000,58.500000,58.779999,57.429951,17739900
2019-04-24,58.520000,59.290001,58.139999,58.720001,57.371330,17723700
2019-04-25,58.299999,58.380001,57.230000,57.610001,56.286827,27949900
2019-04-26,52.740002,53.090000,51.520000,52.430000,51.225800,72364500
2019-04-29,52.169998,52.430000,51.000000,51.110001,49.936119,42142300
2019-04-30,51.000000,51.430000,50.869999,51.040001,49.867725,27130900
2019-05-01,51.099998,51.599998,50.740002,50.759998,49.594154,20467600
2019-05-02,50.799999,51.330002,50.119999,50.549999,49.388977,22655400
2019-05-03,51.080002,51.820000,50.730000,51.750000,50.561417,25656600
2019-05-06,50.250000,51.279999,50.189999,51.220001,50.350071,26245200
2019-05-07,50.599998,50.880001,49.930000,50.480000,49.622635,29713400
2019-05-08,50.200001,50.790001,49.070000,49.240002,48.403698,36812400
2019-05-09,47.900002,48.290001,46.049999,46.619999,45.828197,59642200
2019-05-10,46.439999,46.799999,45.099998,46.200001,45.415329,42522800
2019-05-13,45.330002,45.639999,44.700001,44.759998,43.999783,39091900
2019-05-14,45.180000,45.490002,44.869999,45.169998,44.402821,24706500
2019-05-15,44.919998,45.750000,44.759998,45.619999,44.845181,23407900
2019-05-16,45.470001,45.950001,45.419998,45.529999,44.756706,19954700
2019-05-17,45.180000,45.730000,44.759998,44.889999,44.127575,22500400
2019-05-20,44.000000,44.520000,43.450001,43.560001,42.820171,28675000
2019-05-21,44.340000,44.779999,44.180000,44.459999,43.704880,25543400
2019-05-22,44.150002,44.459999,43.849998,44.000000,43.252697,16932500
2019-05-23,43.369999,44.740002,42.860001,44.529999,43.773693,35783900
2019-05-24,44.590000,45.049999,44.490002,44.570000,43.813015,27168100
2019-05-28,44.660000,44.689999,43.299999,43.570000,42.829994,34779900
2019-05-29,43.349998,44.529999,43.330002,44.230000,43.478786,28450300
2019-05-30,44.299999,45.029999,44.230000,44.730000,43.970295,21618900
2019-05-31,44.180000,44.970001,43.930000,44.040001,43.292015,25532500
2019-06-03,44.250000,44.590000,43.200001,43.459999,42.721867,31155700
2019-06-04,44.160000,44.860001,43.770000,44.790001,44.029278,28094900
2019-06-05,45.110001,45.180000,44.189999,44.549999,43.793354,20802000
2019-06-06,44.750000,45.169998,44.509998,45.099998,44.334015,19076200
2019-06-07,45.250000,46.119999,45.099998,46.029999,45.248219,24370300
2019-06-10,46.230000,47.189999,46.200001,46.799999,46.005142,20806100
2019-06-11,47.259998,47.320000,46.520000,46.849998,46.054291,18415500
2019-06-12,46.669998,46.669998,46.250000,46.320000,45.533287,15899100
2019-06-13,46.599998,46.959999,46.529999,46.700001,45.906837,12267600
2019-06-14,45.830002,46.419998,45.549999,46.189999,45.405499,15381100
2019-06-17,46.139999,46.529999,45.799999,46.130001,45.346523,12643300
2019-06-18,46.750000,48.000000,46.599998,47.369999,46.565456,25732300
2019-06-19,47.480000,47.580002,47.000000,47.070000,46.270554,17436400
2019-06-20,47.869999,48.049999,46.869999,47.189999,46.388512,20126800
2019-06-21,46.950001,47.730000,46.799999,47.459999,46.653927,31096300
2019-06-24,47.400002,47.849998,47.169998,47.630001,46.821045,14479900
2019-06-25,47.560001,47.680000,46.799999,46.849998,46.054291,16665600
2019-06-26,47.650002,48.480000,47.560001,48.189999,47.371529,21886300
2019-06-27,48.150002,48.419998,47.240002,47.459999,46.653927,23062900
2019-06-28,47.770000,48.200001,47.680000,47.869999,47.056965,26646200
2019-07-01,49.290001,49.450001,47.750000,48.049999,47.233910,27505400
2019-07-02,47.910000,48.220001,47.689999,48.119999,47.302715,15381600
2019-07-03,48.180000,48.560001,48.000000,48.520000,47.695927,10739100
2019-07-05,48.029999,48.180000,47.439999,48.080002,47.263397,14339200
2019-07-08,47.619999,47.950001,47.070000,47.820000,47.007813,16564300
2019-07-09,47.360001,47.799999,47.130001,47.750000,46.939003,17853200
2019-07-10,47.919998,48.610001,47.900002,48.209999,47.391190,16032300
2019-07-11,48.560001,48.779999,48.310001,48.599998,47.774567,16615100
2019-07-12,49.000000,49.930000,48.810001,49.919998,49.072147,20148700
2019-07-15,50.000000,50.250000,49.770000,50.119999,49.268749,14345100
2019-07-16,49.910000,50.000000,48.959999,49.169998,48.334881,17131400
2019-07-17,49.500000,49.700001,49.240002,49.389999,48.551151,11928600
