Date,Open,High,Low,Close,Adj Close,Volume
2019-11-14,271.799988,275.809998,270.809998,275.089996,272.276306,1202900
2019-11-15,280.140015,285.869995,280.000000,283.679993,280.778412,2126400
2019-11-18,282.760010,285.769989,280.799988,282.700012,279.808472,1366200
2019-11-19,284.570007,284.570007,276.579987,276.760010,273.929199,1365400
2019-11-20,275.980011,277.260010,270.399994,274.130005,271.326111,1266100
2019-11-21,265.720001,269.679993,262.899994,263.899994,261.200745,2406700
2019-11-22,265.480011,266.670013,260.119995,261.980011,259.300385,1273600
2019-11-25,264.070007,270.059998,263.670013,269.010010,266.258484,1988500
2019-11-26,270.000000,271.410004,267.220001,269.559998,266.802856,1789800
2019-11-27,270.799988,272.059998,269.380005,270.940002,268.168762,874400
2019-11-29,270.799988,270.799988,265.790009,266.829987,264.100769,759000
2019-12-02,266.480011,266.480011,261.329987,262.940002,260.250580,1316600
2019-12-03,256.790009,261.600006,255.500000,257.839996,255.202713,1594700
2019-12-04,262.750000,264.440002,261.369995,262.869995,260.181274,1207300
2019-12-05,264.649994,265.250000,262.429993,264.820007,262.111359,1103800
2019-12-06,268.000000,272.579987,266.850006,269.859985,267.099792,1358900
2019-12-09,271.309998,272.209991,267.059998,268.019989,265.278595,1027200
2019-12-10,268.500000,271.630005,267.179993,268.989990,267.385956,1183000
2019-12-11,268.750000,276.049988,268.519989,275.399994,273.757721,1557900
2019-12-12,274.450012,285.529999,274.089996,284.700012,283.002289,1827600
2019-12-13,283.890015,288.869995,280.510010,281.950012,280.268677,2278600
2019-12-16,286.149994,288.440002,284.250000,284.250000,282.554962,1526300
2019-12-17,286.500000,291.250000,285.329987,290.570007,288.837280,2101800
2019-12-18,290.410004,292.250000,286.890015,288.019989,286.302460,1411600
2019-12-19,290.609985,293.410004,288.279999,293.290009,291.541046,1332400
2019-12-20,297.790009,299.390015,293.720001,297.410004,295.636475,3350900
2019-12-23,298.380005,299.000000,294.269989,294.450012,292.694153,1160900
2019-12-24,295.690002,296.079987,292.119995,294.480011,292.723969,386600
2019-12-26,294.970001,295.320007,293.140015,294.920013,293.161346,622000
2019-12-27,295.920013,296.369995,292.769989,293.700012,291.948608,608200
2019-12-30,292.510010,293.209991,287.640015,292.540009,290.795532,850600
2019-12-31,291.500000,292.589996,288.519989,292.399994,290.656342,915400
2020-01-02,295.779999,299.799988,294.489990,297.890015,296.113647,1506400
2020-01-03,292.049988,296.809998,291.720001,294.690002,292.932709,962200
2020-01-06,289.790009,292.029999,287.540009,289.190002,287.465515,1340500
2020-01-07,291.739990,298.540009,291.380005,296.239990,294.473450,1559500
2020-01-08,297.480011,301.670013,295.200012,299.970001,298.181213,1553700
2020-01-09,302.119995,303.880005,293.500000,297.929993,296.153381,1374800
