Date,Open,High,Low,Close,Adj Close,Volume
2019-04-23,39.090000,39.639999,38.880001,39.419998,37.953049,25305600
2019-04-24,39.500000,39.639999,39.160000,39.369999,37.904911,20111000
2019-04-25,39.250000,39.830002,39.169998,39.610001,38.135983,17201200
2019-04-26,39.669998,39.990002,39.450001,39.970001,38.482586,19025800
2019-04-29,39.970001,40.020000,39.590000,39.590000,38.116722,22038900
2019-04-30,40.400002,41.180000,39.799999,40.610001,39.098770,32600000
2019-05-01,40.590000,40.919998,40.169998,40.770000,39.252815,19642700
2019-05-02,40.810001,41.020000,40.580002,41.009998,39.483883,19422400
2019-05-03,41.220001,41.500000,41.029999,41.389999,39.849743,17708500
2019-05-06,40.910000,41.770000,40.840000,41.650002,40.100071,24642700
2019-05-07,41.389999,41.709999,40.500000,40.830002,39.310589,26189600
2019-05-08,40.799999,41.029999,40.439999,40.950001,39.426113,22592000
2019-05-09,40.299999,40.840000,40.230000,40.639999,39.474682,18721500
2019-05-10,40.630001,40.820000,39.869999,40.720001,39.552387,16500500
2019-05-13,40.230000,40.650002,40.150002,40.570000,39.406689,26575700
2019-05-14,40.590000,40.869999,40.560001,40.660000,39.494110,25401100
2019-05-15,40.860001,41.290001,40.700001,41.150002,39.970058,31803300
2019-05-16,41.150002,41.980000,41.150002,41.639999,40.446007,24201600
2019-05-17,41.299999,41.810001,41.250000,41.470001,40.280888,27692300
2019-05-20,41.400002,41.709999,41.279999,41.590000,40.397442,23009100
2019-05-21,41.709999,41.810001,41.490002,41.669998,40.475143,27310300
2019-05-22,41.689999,42.209999,41.549999,41.990002,40.785976,23979700
2019-05-23,41.840000,41.980000,41.650002,41.919998,40.717976,24189700
2019-05-24,42.060001,42.310001,41.869999,41.950001,40.747120,14595200
2019-05-28,42.150002,42.480000,41.889999,41.900002,40.698551,46907600
2019-05-29,41.700001,41.840000,41.279999,41.720001,40.523712,25517800
2019-05-30,41.680000,41.950001,41.580002,41.900002,40.698551,16455700
2019-05-31,41.689999,41.980000,41.450001,41.520000,40.329453,21479400
2019-06-03,41.630001,42.189999,41.570000,41.919998,40.717976,21483000
